Rank,Last Name and First Name,Points,Debut
1,NIEMINEN Toni,269.0,yes
2,RATHMAYR Werner,229.0,yes
3,FELDER Andi,218.0,no
4,VETTORI Ernst,205.0,no
5,ZUEND Stephan,147.0,no
6,MARTINSSON Mikael,132.0,no
7,JEZ Frantisek,127.0,no
8,GOLDBERGER Andreas,123.0,no
9,KASAI Noriaki,115.0,no
10,HOELLWARTH Martin,112.0,yes
11,KUTTIN Heinz,92.0,no
12,NIKKOLA Ari-Pekka,81.0,no
13,PETEK Franci,72.0,no
14,SAKALA Jaroslav,67.0,no
15,PARMA Jiri,66.0,no
16,TAELLBERG Staffan,57.0,no
17,LUNARDI Ivan,54.0,yes
18,GOSTISA Samo,52.0,yes
19,DUFFNER Christof,51.0,no
20,HOLLAND Jim,48.0,yes
21,GODER Tomas,46.0,yes
22,HAIM Werner,42.0,no
23,FREIHOLZ Sylvain,36.0,no
23,TRUNZ Martin,36.0,yes
25,CECON Roberto,32.0,no
26,JOHANSEN Magne,27.0,no
27,BERG Oyvind,26.0,no
27,LAAKONEN Risto,26.0,no
29,HARADA Masahiko,24.0,no
29,HORNGACHER Stefan,24.0,no
29,POINTNER Alexander,24.0,no
32,GEBSTEDT Ralf,23.0,no
33,MOLLARD Didier,22.0,no
34,BREDESEN Espen,20.0,no
35,DELAUP Steve,19.0,yes
36,VODNEV Dionis,18.0,no
37,WEISSFLOG Jens,16.0,no
37,ZUPAN Matjaz,16.0,no
39,YLIPULLI Raimo,14.0,no
40,SUDA Kenji,13.0,yes
41,NOELKE Marc,10.0,yes
41,THOMA Dieter,10.0,no
43,HUNGER Heiko,9.0,no
44,ESIN Michail,8.0,no
45,HAKALA Vaesa,7.0,no
45,OTTESEN Lasse,7.0,no
47,SCHERER Andreas,6.0,yes
48,BOKLOEV Jan,4.0,no
48,FIDJESTOEL Ole Gunnar,4.0,no
48,JEAN-PROST Nicolas,4.0,yes
48,LAITINEN Mika Antero,4.0,yes
48,OLIJNYK Rune,4.0,no
48,SCHUSTER Werner,4.0,no
54,SATO Akira,2.0,no
54,TAKEUCHI Motoyasu,2.0,yes
