Season,Rank,Last Name and First Name,Points
1979_1980,1,NEUPER Hubert,238
1979_1980,2,KOGLER Armin,220
1979_1980,3,BOBAK Stanislaw,130
1979_1980,4,YAGI Hirokazu,116
1979_1980,5,AKIMOTO Masahiro,109
1979_1980,6,MILLONIG Hans,108
1979_1980,6,SAETRE Johan,108
1979_1980,8,SUMI Hansjörg,102
1979_1980,9,INNAUER Toni,95
1979_1980,10,PUIKKONEN Jari,87
1979_1980,10,WALLNER Hans,87
1979_1980,12,COLLINS Steve,83
1979_1980,12,LEVORSTAD Tom,83
1979_1980,14,RUUD Roger,82
1979_1980,15,GROYER Alfred,81
1979_1980,16,FIJAS Pjotr,73
1979_1980,17,BERGERUD Per,70
1979_1980,17,LIPBURGER Alois,70
1979_1980,19,TOERMAENEN Jouko,65
1979_1980,20,NORCIC Bogdan,61
1979_1980,21,GLASS Henry,56
1979_1980,21,OSTWALD Klaus,56
1979_1980,23,TUCHSCHERER Klaus,49
1979_1980,24,LEITNER Peter,46
1979_1980,25,MOULLIER Bernard,42
1979_1980,26,WEBER Martin,41
1979_1980,27,CHRISTIANSEN Tom,40
1979_1980,28,MOESCHING Robert,37
1979_1980,29,KAWABATA Takafumi,35
1979_1980,29,MOBEKK Ivar,35
1979_1980,29,PUERSTL Willi,35
1979_1980,32,ULAGA Primoz,31
1979_1980,33,DANNEBERG Jochen,27
1979_1980,35,KLAUSER Thomas,26
1979_1980,36,VLASOV Vladimir,24
1979_1980,36,ZUEHLKE Reed,24
1979_1980,38,BULAU Horst,23
1979_1980,38,DUSCHEK H.,23
1979_1980,38,MEISINGER Thomas,23
1979_1980,38,SCHWARZ Hubert,23
1979_1980,38,TEPES Miran,23
1979_1980,43,ABERER Gebhard,22
1979_1980,43,PAWLUSIAK Stanislaw,22
1979_1980,43,TSURUGA Sajae,22
1979_1980,46,DECKERT Manfred,20
1979_1980,46,TANCZOS Jan,20
1979_1980,46,WEISSPFLOG Falko,20
1979_1980,49,SKODA Leos,19
1979_1980,49,TOMASI Lido,19
1979_1980,51,MIKKONEN Tapio,18
1979_1980,51,SAITSCHIK Sergej,18
1979_1980,53,JOERGENSEN Ulf,17
1979_1980,53,TOIVONEN Seppo,17
1979_1980,55,KAEYHKO Tauno,16
1979_1980,55,KOKKONEN Pentti,16
1979_1980,57,BALKAASEN Per,15
1979_1980,57,KORHONEN Keijo,15
1979_1980,59,FELIX Ivo,14
1979_1980,60,ASPHOL Halvor,13
1979_1980,60,SUNIN Pjotr,13
1979_1980,62,KOCH Fritz,12
1979_1980,62,NORDLIEN Per Steinar,12
1979_1980,62,RAULAND Tom,12
1979_1980,65,BAJC Vasja,11
1979_1980,65,DAVIS Jeffrey,11
1979_1980,65,HOLMEN JENSEN Dag,11
1979_1980,65,MALMQUIST Walter,11
1979_1980,65,RONKAINEN,11
1979_1980,70,KARLSSON Christer,10
1979_1980,70,NOVAK Bretislav,10
1979_1980,70,STROEMBERG Jan Erik,10
1979_1980,73,AALTO Asko,9
1979_1980,73,COLIN Gerard,9
1979_1980,73,HYSEK Josef,9
1979_1980,76,BOROVITIN A.,8
1979_1980,76,JOERNKROK Thomas,8
1979_1980,76,KAMAROV,8
1979_1980,76,TVEITEN Sten Eric,8
1979_1980,80,EGLOFF Paul,7
1979_1980,80,HANADA Toshihiro,7
1979_1980,80,HOLMLUND Jan,7
1979_1980,80,ITUO Takao,7
1979_1980,80,TANAKA Shinichi,7
1979_1980,85,ZUPAN Ivo,6
1979_1980,86,HEINONEN Kari,5
1979_1980,86,SAMEK J.,5
1979_1980,88,AIZAWA Hiroyasu,4
1979_1980,88,BABIS Babis,4
1979_1980,88,KOWALSKI Andrzej,4
1979_1980,88,LARINTO Jari,4
1979_1980,92,GREINER Andreas,3
1979_1980,92,KAWAMURA Yuji,3
1979_1980,92,RAUTIONAHO Esko,3
1979_1980,92,WURSTHORN Albert,3
1979_1980,97,NOVOTNY Frantisek,2
1979_1980,97,SASAKI Shinya,2
1979_1980,99,GUERTLER Rupert,1
1979_1980,99,IWASAKI Motoshi,1
1979_1980,99,JELENSKI Jan,1
1979_1980,99,KIRKELUND Sveinung,1
1979_1980,99,KONNO Nirihiro,1
1979_1980,99,PROSSER Thomas,1
1980_1981,12,BREMSETH Ole,82
1980_1981,13,FELDER Andi,60
1980_1981,15,BOEGSETH Jon Eilert,58
1980_1981,17,JENSEN HOLMEN Dag,53
1980_1981,18,BROMAN J.,49
1980_1981,20,YLIANTTILA Kari,45
1980_1981,24,TSCHERNAJEV Vladimir,32
1980_1981,26,NYKAENEN Matti,30
1980_1981,26,VETTORI Ernst,30
1980_1981,30,BUSE Mathias,27
1980_1981,33,RIGONI Massimo,22
1980_1981,35,BENEDEK Branko,21
1980_1981,38,ZITZMANN A.,20
1980_1981,42,DAVIS Jeff,18
1980_1981,46,STEINER Manfred,15
1980_1981,49,ERNST Joachim,13
1980_1981,49,HASTINGS Jeff,13
1980_1981,52,MAKI Jim,12
1980_1981,52,TVEDT Ole Erik,12
1980_1981,55,NOVAK Frantisek,11
1980_1981,55,ROHWEIN Peter,11
1980_1981,57,BAUER Andreas,10
1980_1981,60,DENNEY John,9
1980_1981,60,LOTRIC Rajko,9
1980_1981,62,TROEN Jan Henrik,8
1980_1981,64,SCHWARZ Christoph,7
1980_1981,66,NABUO Nakatsu,6
1980_1981,66,PSCHERRA Ulrich,6
1980_1981,66,TOLKKINEN Pekka,6
1980_1981,70,BOLL Uli,5
1980_1981,70,SERVO Oleg,5
1980_1981,70,WILLIAMS Tim,5
1980_1981,76,GRAHEK Jim,4
1980_1981,78,ARNOLD Landis,3
1980_1981,78,BRZUCHANSKI Josef,3
1980_1981,80,KERN Terry,2
1980_1981,80,PUSENIUS Markku,2
1980_1981,80,SLUSNY Miro,2
1981_1982,13,HANSSON Olav,74
1981_1982,14,FELDER Andreas,71
1981_1982,29,DAUN Anders,29
1981_1982,38,PLOC Pavel,16
1981_1982,40,OPAAS Vegard,13
1981_1982,41,HIRNER Adolf,12
