Rank,Last Name and First Name,Points,Debut
1,SAGEN Anette,1091.0,no
2,IRASCHKO Daniela,932.0,no
3,GRAESSLER Ulrike,927.0,no
4,VAN Lindsey,882.0,no
5,MOHR Jenna,567.0,no
6,HAEFELE Anna,557.0,no
7,SEIFRIEDSBERGER Jacqueline,503.0,yes
8,DE LEEUW Nata,489.0,no
9,JAHR Line,423.0,no
10,VTIC Maja,409.0,no
11,SCHNURR Magdalena,398.0,no
12,SMEBY Helena Olsson,394.0,yes
13,WINDMUELLER Bigna,327.0,no
14,JOHNSON Alissa,317.0,no
15,YAMADA Izumi,283.0,no
16,DEMETZ Lisa,257.0,no
17,JEROME Jessica,230.0,no
18,INSAM Evelyn,201.0,no
19,HENDRICKSON Sarah,198.0,no
20,TANAKA Atsuko,192.0,no
21,SEYFARTH Juliane,178.0,no
22,WINDMUELLER Sabrina,177.0,no
23,VUIK Wendy,155.0,no
24,ROGELJ Spela,141.0,no
25,ITOH Yuuki,134.0,no
26,MATTEL Coline,133.0,yes
27,KANAI Rieko,120.0,no
28,WATASE Ayumi,118.0,no
29,STRAUB Ramona,115.0,no
30,POGRAJC Manja,113.0,no
31,RUNGGALDIER Elena,107.0,no
32,WUERTH Svenja,100.0,no
33,LOGAR Eva,99.0,no
33,TAKEDA Ayuka,99.0,no
35,KASAI Yoshiko,86.0,no
36,HUGHES Abby,79.0,no
37,ARDOVINO Avery,77.0,no
37,VOGT Carina,77.0,no
39,KOASA Seiko,75.0,no
40,DOLEZELOVA Michaela,72.0,no
41,FAISST Melanie,71.0,no
41,KYKKAENEN Julia,71.0,no
43,STUFFER Barbara,64.0,no
44,FUEKI Misa,60.0,no
44,KEIL Katharina,60.0,yes
46,SHIGENO Misaki,55.0,no
46,WILLIS Katie,55.0,no
48,HIRAYAMA Yurika,46.0,no
48,KLINEC Barbara,46.0,yes
50,SENONER Simona,44.0,yes
51,ESPIAU Caroline,41.0,no
52,D AGOSTINA Roberta,37.0,no
53,SPRAKEHAUG Silje,34.0,no
54,TAKANASHI Sara,31.0,yes
55,FRIBERG Karin,22.0,no
55,ALTHAUS Katharina,22.0,yes
57,TEPES Anja,21.0,no
58,STEEN HANSEN Synne,20.0,yes
59,THOMAE Lara,19.0,no
60,BACKE Mari,18.0,no
61,KITAMURA Saki,17.0,no
61,PUSTKOVA Vladena,17.0,no
63,SOLBERG Gunhild,15.0,yes
64,SAWAYA Natsuka,14.0,no
65,JOHANSSON Linda,13.0,yes
65,MATSUHASHI Aki,13.0,no
65,SATO Sakura,13.0,no
68,LUNDBY Maren,12.0,yes
68,MIKOVA Lucie,12.0,yes
70,HENRICH Taylor,11.0,yes
70,IWABUCHI Kaori,11.0,yes
70,KOBAYASHI Yuka,11.0,no
70,KOSTNER Nadine,11.0,yes
70,SCHUBERT Franziska,11.0,yes
75,ENGLUND Nita,8.0,yes
75,GERAGHTY-MOATS Tara,8.0,no
77,KIENZER Anna,6.0,no
77,YAMADA Yurina,6.0,yes
79,KABE Erina,5.0,no
80,POCK Verena,4.0,no
81,POEPPEL Sarah,3.0,yes
81,WALLEWEIN Lea,3.0,yes
83,BOGATAJ Ursa,2.0,yes
83,MITCHELL Charlotte,2.0,yes
83,PLANINC Monika,2.0,no
83,YAMAGUCHI Mizuki,2.0,no
87,LUSSI Nina,1.0,yes
