Season,Rank,Last Name and First Name,Points
2004_2005,1,SAGEN Anette,1020
2004_2005,2,VAN Lindsey,740
2004_2005,3,IRASCHKO Daniela,620
2004_2005,4,JAHR Line,567
2004_2005,5,JEROME Jessica,525
2004_2005,6,GRAESSLER Ulrike,519
2004_2005,7,POGLADIC Monika,478
2004_2005,8,VTIC Maja,374
2004_2005,9,JOHNSON Alissa,304
2004_2005,10,SEYFAHRT Juliane,292
2004_2005,11,SEIFRIEDSBERGER Jaqueline,290
2004_2005,12,SMEBY Henriette,277
2004_2005,13,DEMETZ Lisa,239
2004_2005,14,BENEDIK Petra,229
2004_2005,15,GANSTER Eva,214
2004_2005,16,DRAGE Tanja,162
2004_2005,17,YAMADA Izumi,148
2004_2005,18,MOHR Jenna,132
2004_2005,19,RUNGGALDIER Elena,126
2004_2005,20,KANAI Rieko,111
2004_2005,21,BACKE Mari,94
2004_2005,22,KECK Karla,88
2004_2005,23,WATASE Ayumi,86
2004_2005,24,KASAI Yoshiko,71
2004_2005,25,BRENNA Ellis,59
2004_2005,26,WILLIS Katie,50
2004_2005,27,PRUCKER Valentine,48
2004_2005,28,SCHMIDT Kristin,45
2004_2005,29,STUFFER Barbara,44
2004_2005,30,KANCILIJA Tamara,43
2004_2005,31,TEPES Ania,40
2004_2005,32,LOGAR Eva,36
2004_2005,33,KOASA Seiko,33
2004_2005,33,TANAKA Atsuko,33
2004_2005,35,OLSSON Helena,25
2004_2005,36,HUGHES Abby,22
2004_2005,37,LYNCH Zoya,19
2004_2005,38,FAISST Melanie,18
2004_2005,38,HAEFELE Anna,18
2004_2005,38,HILS Karina,18
2004_2005,38,LYONS Taylor,18
2004_2005,42,ARDOVINO Avery,17
2004_2005,43,D AGOSTINA Roberta,15
2004_2005,44,RAND Janne,14
2004_2005,45,PERATHONER Jenny,12
2004_2005,45,STEFANER Katrin,12
2004_2005,47,KUEHORN Angelika,11
2004_2005,47,POZUN Katja,11
2004_2005,47,SMAAKASIN Stine,11
2004_2005,50,FRISAK Live,10
2004_2005,50,SCHNURR Magdalena,10
2004_2005,52,PUSTKOVA Vladena,9
2004_2005,53,KEPIC Nika,7
2004_2005,54,RHOADS Brittany,6
2005_2006,2,VAN Lindsey-M,1159
2005_2006,15,ELLIS Brenna,318
2005_2006,25,REXHAEUSER Lisa,133
2005_2006,30,DE LEEUW Nata,87
2005_2006,31,KABE Erina,79
2005_2006,33,TEPES Anja,70
2005_2006,36,KRIEG Stephani,36
2005_2006,37,SHIGENO Misaki,28
2005_2006,40,HIRAYAMA Yurika,23
2005_2006,44,TAKEDA Ayuka,20
2005_2006,45,FUEKI Misa,18
2005_2006,45,SPRAKEHAUG Silje,18
2005_2006,47,MOTOYAMA Yuka,16
2005_2006,49,FRIDTUN Kristin,15
2005_2006,50,POCK Verena,14
2005_2006,51,ENGER Gyda,12
2005_2006,51,TEMME Andrea,12
2005_2006,54,PLANINC Monika,9
2005_2006,55,HAUER Nicole,7
2005_2006,56,ANDERSSON Elisabeth,6
2005_2006,56,MOSER Franziska,6
